index,Job Title,Job Description,,Industry,Sector
41,Business Analysis,"*Technology Department Overview**Banking technology supports technology for 3 parts of the Banking business under CIB (Corporate & Investment Bank), namely GIB (Global Investment Banking), GCB (Global Corporate Banking) & TS (Treasury Services). GIB works with a broad range of issuer clients, including corporations, institutions and governments, and provides comprehensive strategic advice, capital raising and risk management expertise. GCB manages the firm's relationships with large corporations, financial institutions and public sector organizations globally to help our clients meet their objectives and challenges in financing, risk management, working capital, cash management and investments. Treasury Services delivers cash management, trade, liquidity, commercial card and escrow services that resolve the working capital and efficiency challenges treasury professionals face today.**Job Description**This is a Business Analysis role for one of our key software applications which is an integral part of the Banking Technology eco system for Deal lifecycle management. This application supports the Global Conflicts business and is used to review transactions from across the firm, including (but not limited to) corporate finance, M&A advisory assignments, capital markets transactions, bank financings, asset wealth management, in order to avoid or manage any actual or perceived conflicts of interests and/or related reputation risks.**Role Description**As a front office Business Analyst you will+ Collect user requirements and feedback from front office bankers in formal and informal settings+ Perform analysis on large internal and external data sets and be able to identify commonalities between them+ Produce requirements documentation translating business requirements into functional specification for development teams+ Manage JIRA process and accompanying Confluence documentation+ Manage a project end to end, including release management process+ Work closely with UX teams on design of new features and components+ Conduct full end to end testing cycle with QA involvement+ Handle user support and work with Support team to address user queries and issues+ Drive user adoption and gather feedback from users for continual enhancements and improvements+ Strive to build common components that can be leveraged by the wider team+ Build relationships with users and stakeholders from multiple regions and productsTo excel in this role you should have demonstrable prior experience as a Business Analyst, Business Intelligence Analyst, IT Consultant, Product/Project Manager or related occupation within Financial Services environment. Problem solving abilities with superior communication skills are required.**Qualifications**In addition, you may possess the following attributes:+ 5+ years' experience working with front office organizations+ Financial markets knowledge, spanning investment banking products (M&A, DCM, ECM)+ Experience working in a global virtual team environment+ Experience working in an Agile methodology+ Quick learner with strong attention to detail+ Strong work ethic, self-starter who is creative with a 'can-do' attitude+ Excellent quantitative and analytical problem solving skills+ Strong communication and presentation skills - ability to translate complex business problems and solutions into easily consumable content+ High-level proficiency in MS-Office products (PowerPoint, Excel, Word)+ High-level proficiency in SQL+ High-level proficiency in confluence and mock-up tools such as Balsamiq+ Ability to execute multiple projects simultaneously and independently+ Ability to engage with multiple regional and product specific stakeholders of the same application+ Professional maturity, personal integrity and polished interpersonal skills+ Ability to receive and act upon feedback+ Bachelor's degree in Engineering, Computer Science, Information Technology, Finance, Business or related field of studyThis is a terrific opportunity for a high energy individual seeking broad exposure to the business within a high performing technology group.So if you're ready to put your passion for technology to work in a way that makes a real difference, apply today.JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.Equal Opportunity Employer/Disability/Veterans",,Investment Banking & Asset Management,Finance
42,Business Analyst,"Business Analyst Whippany, NJThe US Consumer Bank Contact Center group in Barclaycard owns multiple platforms such as desktop, IVR,Secure messaging,Appian, Dialer and Telephony. Our technology teams ensure that we are open for business when our customers and clients need us, and that our colleagues have the tools and support they need to do a great job. We work in partnership with our business units to deliver world class products and services. From banking apps to contactless card payment services, video banking, check imaging and secure data storage.What will you be doing?+ Acts as a bridge and channel between the product Owner and the development team.+ Prepares Impact Analysis for the new projects and locks the scope.+ Provides strong Business Analysis expertise in an agile frame work for analyzing requirements and find the most appropriate technical solution+ Translates new requirements into healthy backlog and keeps in the order of prioratization defined by the Product owner+ works closely with the agile team to conduct/manage ceremonies - Daily Stand up,Sprint planning,Retrospective,Sprint DemoWhat we're looking for:•Bachelor's degree required OR in lieu of Bachelor' degree, high school diploma/GED and 12+ years leadership experience in financial services, banking, technology, and/or retail industries•With overall 5+ years of relevant experience in IT•2+ years of experience in working in distributed Agile environment with running agile cedences•5+ years of experience in working in waterfall•5+ years of experience with complex cross-functional projects as a business analyst.Skills that will help you in the role:•Ability to work with teams in different time zones•Not shy away from asking questions •Ability to understand technical challenges with the askWhere will you be working?At Barclays, we are proud to be redefining the future of finance and here at Whippany we are defining the future of the workplace and the future of the way we work and live. We are creating a unique community, one of four strategic tech-enabled hubs that will redefine opportunity for everyone who works here. Whatever you do at Whippany, you'll have every chance to build a world-class career in this world-class environment.Interested and want to know more about Barclays? Visit home.barclays/who-we-are/ for more details. Our ValuesEverything we do is shaped by the five values of Respect, Integrity, Service, Excellence and Stewardship. Our values inform the foundations of our relationships with customers and clients, but they also shape how we measure and reward the performance of our colleagues. Simply put, success is not just about what you achieve, but about how you achieve it.Our DiversityWe aim to foster a culture where individuals of all backgrounds feel confident in bringing their whole selves to work, feel included and their talents are nurtured, empowering them to contribute fully to our vision and goals. It is the policy of Barclays to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, creed, religion, national origin, alienage or citizenship status, age, sex, sexual orientation, gender identity or expression, marital or domestic/civil partnership status, disability, veteran status, genetic information, or any other basis protected by law.Our BenefitsOur customers are unique. The same goes for our colleagues. That's why at Barclays we offer a range of benefits, allowing every colleague to choose the best options for their personal circumstances. These include a competitive salary and pension, health care and all the tools, technology and support to help you become the very best you can be. We are proud of our dynamic working options for colleagues. If you have a need for flexibility, then please discuss this with us",,Banks & Credit Unions,Finance
43,Business Analyst,"A Business Analyst is required to work within and, at times, lead teams developing and delivering transformational change projects on behalf of major investment banks and other top-tier financial services companies.

The successful candidate will usually work as a part of a small team of Riskcare consultants and will perform activities including requirements gathering and analysis, business process analysis and reengineering, functional analysis and testing.

Once an in-depth understanding of Riskcare’s engagement model has been adopted, the individual will have the opportunity to lead project teams, be expected to manage stakeholder relationships and ensure the timely delivery of projects.

Within pre-sales, the role involves working with client relationship managers to explore clients’ requirements and qualify them sufficiently to develop compelling proposals for the services we provide.

Through investment in research, training and development, the opportunity also exists to develop specific areas of deep expertise.
Please send your CV and a letter outlining your aspirations and motivations for applying for a position with Riskcare.

Apply for this position

Skills and qualities


The following skills and qualities are considered indispensable:
Excellent written and verbal communication skills to support the authoring of business documents and presentations, running workshops and managing relationships with stakeholders.
An ability to conduct careful, structured analysis on complex problems or requirements in order to identify and present defensible conclusions and solutions.
Accurate and comprehensive gathering of requirements to enable the formation of coherent specifications.
A thorough understanding of the software development lifecycle and the role of the business analyst within it.
Experience in delivering logical and comprehensive test strategies and clear, concise test cases.
Five-plus years of experience working in the investment banking industry, preferably with one or more areas of specialism.
A practical knowledge of trade lifecycle and risk processes.
It would be an advantage to demonstrate:
A good knowledge of one or more financial product sets, including market structure, pricing methodologies and risk characteristics.
Some experience of business process modelling and optimisation and its documentation.
The ability to independently plan, organise and manage one’s own work and provide guidance and oversight for that of others’
An ability to independently plan, organise and manage his or her own work – while providing guidance and oversight for team members.
Familiarity with any programming, querying or scripting languages.
Understanding of market or credit risk and associated regulations.
Ability to analyse regulatory requirements and produce formal specifications.
Above all, the successful candidate will be proactive, organised and focused keenly on delivering results. They will be expected to remain diligent, cool-headed and professional at all times.

Experience


The successful candidate will have a track record of working within a team to conduct and deliver high-quality analysis work in challenging environments, preferably as a practitioner. They will be experienced in dealing with senior stakeholders and taking responsibility for quality and delivery.

Compensation, careers and culture


We look to remunerate according to experience and personal development within the role. Remuneration includes base salary, bonuses and benefits.

NO AGENCIES PLEASE",,Consulting,Business Services
44,Business Analyst - Contract,"Job Description:

The charter of this team is to provide business analysis support for the FA Platforms to help drive the requirements, execution of the technical redesign and strategy of the platform to meet the goals of the business and delivery/implementation.

Required Skills:
Excellent communication skills, both verbal and written
Self- motivated individual that will dig deep to uncover facts and not rely on assumptions or hearsay
Assertive individual who can push and facilitate requirements discussion with minimum to no level of supervision.
Ability to manage requirements and definition of the overall platform, keeping focus on technical requirements for users to be able to successfully use and navigate through the platform on their day to day activities.
Liaison between Business Users and Technical team in analysis & design
Well defined and structured individual who can document, track and work on Functional, Data requirements seamlessly with minimum supervision
Identifies opportunities for improving business processes through information systems
Plans, organizes and conduct walkthrough with Business Units and Technical team for common understanding across teams of requirements and sign off
Provides technical assistance to peers, mentoring where ever applicable
Exposure to Agile/Scrum is a must.
Basic Financial Services knowledge is sufficient but Technical knowledge is a must (e.g. Ability to understand system behavior, interaction and dependencies, Data knowledge etc)
Furthermore, this position will work with the ScrumMaster, Product Owners, PMs and business/data analysts in the team and work with other platform teams, driving issue analysis & resolution, educating peers, and drive the project throughout the SDLC process until execution.
The candidate should be flexible, highly adaptable and excellent team player.
The candidate should expect to work in a global virtual team along with NY and India team members, sometimes across multiple time zones.
The ideal candidate will be a self-motivated team player committed to delivering on time and should be able to work under minimal supervision",,Brokerage Services,Finance
45,Business Analyst,"Responsibilities
Develop relationships with key FADEL and customer business personnel
Work closely with customers to identify and document their as-is and to-be states and requirements
Foster collaboration, innovation and creativity within the BA Team and among cross-functional internal and customer project team members
Serve as the conduit between the customer community and the product management team for application enhancements
Critically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needs
Location
New York, Los Angeles or Lebanon
Desired Skills and Experience
3 to 6 Years of overall professional work experience as a Business Analyst
Degree in computer science or related field, or equivalent work experience
Knowledgeable in Agile / Scrum and UML modeling
General knowledge of the entertainment, high tech or life sciences and/or experience in one or more of the following process areas is a plus:
Intellectual Property and Rights Management
Royalty accounting
Licensing and distribution
Contract management
Listening skills, to understand what people say and to detect what they might be hesitant to say
Analytical skills, to critically evaluate the information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a more general understanding, distinguish presented user requests from the underlying true needs, and distinguish solution ideas from requirements
Ability to work hard and thrive in a fast-paced environment while managing multiple projects
Ability to work as part of a team and interface with software developers for a large enterprise system
Excellent verbal and written communication skills
Able to interact professionally with a diverse group, executives, managers, and subject matter experts
Ability to listen to business requirements and translate them into application configurations
Able to travel 60 – 80% on an average yearly basis
No Visa restrictions",,Computer Hardware & Software,Information Technology
46,Business Analyst,"Business Analyst
If you are an IT Business Analyst with experience implementing Workday/HR Systems, please read on!

We are a strong corporate organization working to digitize and build out the technology for our sister companies. We are looking for an experienced IT Business Analyst to work on multiple projects with an emphasis on implementing Workday/HR Systems. Our sister companies all have individual needs, therefore we are looking for someone with a consultative nature who can understand different and unique complex processes and procedures working with the businesses on the end to end solutions.

Some of your functions in this role:
- Working closely with the business to gather and document requirements
- Build technical documentation working with the IT teams from start to finish
- Participate in the UAT testing
- Own all the business analysis functions working in a Agile environment
- Create user documentation, training materials as well as train business users

We are looking for someone who can work in a team or independently depending on the project and sister company. Our sister companies are small and medium in size, so you must be able to adapt to working within these different environments, helping the business through quality business analysis.
What You Need for this Position
Requirements:
Bachelor's degree in Computer Science or related field
6+ years working as a Business Analyst, working on enterprise level projects
3+ years working on Workday(strong preference) or any other HR System implementation - REQUIRED
Experience in an Agile environment
Ability to manage multiple projects at a time with multiple business stakeholders
Strong communication skills working with all levels of business stakeholders
Demonstrated documentation skills, business requirements documentation, technical specifications, training and user documentation
What's In It for You
We offer a solid compensation package in a growing organization!

Local Candidates ONLY please.
So, if you are an IT Business Analyst with experience implementing Workday/HR Systems, please apply today!
-
Applicants must be authorized to work in the U.S.


CyberCoders, Inc is proud to be an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",,Staffing & Outsourcing,Business Services
47,Business Analyst,"Job Description
Business Analyst
Analyzes an organization or business domain (real or hypothetical) and documents its business or processes or systems, assessing the business model or its integration with technology with distinct deliverables to a solution.

Mid-Level (36-60 Months)
Candidate is able to work without assistance
Bachelor’s Degree in Information Technology or Computer Science or similar field of study.
36 months of business analysis in Information Technology on SDLC projects; including developing business cases, gap analysis, functional and non-function requirements, test cases and plans
36 months of experience using recognized business analysis methodologies to elicit requirements from business users.
36 months of Data analysis/Data mining of systems and relational databases.
36 months of experience querying and interrogating data using SQL on DB2 or Oracle platforms using tools such as SQL query tools and using MS Access.
12 months experience with Head Start data and its analysis
36 months of experience analyzing and developing reporting needs/reports from three perspectives: senior management, power user, and ad hoc, using industry standard (e.g. Cognos) reporting software
36 months experience working in a formal Project Management office, working with Project Managers and teams, and using standardized methodologies and templates.",,Computer Hardware & Software,Information Technology
48,Business Analyst,"Business Analyst

EZOPSNew York, NY

Key Responsibilities:

Business Analysis
Analyzing client operations processes & defining solutions
Working closely with internal business, technicians, developers to agree to end client business specifications
Gathering critical information from meetings with various stakeholders
Performing regression and user acceptance testing
Work closely with QA to ensure regression & UAT test cases are correct
Working with the end client to onboard software and application
Product Development
Defining detailed specifications and test cases requirements
Ensuring solutions meet end client business needs and requirements
Research & Development for new products for Product Roadmap
Client Onboarding
Product SME for client onboardings & support queries
Requirements:
Candidate should have experience in Financial Services Operations and understand the processes involved between Front to Back Offices
Ability to talk to different audiences, clients, management or developers
Ability to simplify complex information
Experience writing detailed requirements analysis
Candidate is expected to be a strong team player and work effectively in cross-organization situations
Excellent written and communication skills
Excellent written and communication skills
Ability to research tasks independently using prior operations experience
Ability to work independently and multi-task, taking ownership of tasks and using their initiative to produce high quality results
Comfortable working towards tight deadlines
Track record navigating ambiguity in a fast-paced environment within a dynamic organization
Qualifications:
Bachelor's degree required
3+ years Operations experience
Business Analyst experience
Experience working alongside Technology team
Expertise within the financial services industry
At least 3 years working with Microsoft Products, (Excel and PowerPoint, and be adept at data queries and formatting, pivot tables, report writing, and presentations)
Good interpersonal skills with a natural ability to work with and support colleagues, ability to adapt to and work independently and effectively
Nice to have:
Experience writing Product Specifications
Understanding of Machine Learning / Artificial Intelligence
Benefits:
Health insurance
Dental insurance
Vision insurance
Paid time off
Flexible schedule
Parental leave
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Aggressive -- competitive and growth-oriented
Outcome-oriented -- results-focused with strong performance culture
Team-oriented -- cooperative and collaborative
Schedule:
Monday to Friday",,Financial Transaction Processing,Finance
49,Radiology Systems Analyst,"Company Overview


At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes. For the 30th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker’s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2019, as well as one of Glassdoor’s Employees’ Choice Best Place to Work for 2019. We’re treating cancer, one patient at a time. Join us and make a difference every day.

Job Description


MSK is seeking a Radiology Application Analystto support staff in the use of the PACS (Picture Archiving and Communication System), ASR (Automatic Speech Recognition) and other Radiology applications.

THIS POSITION WILL SIT IN COMMACK & NEW YORK CITY 50/50 SPLIT!

You Will:
Provide application support for radiology systems including, but not limited to, PACS, RIS and Voice recognition.
Use Remedy ticket tracking system for daily monitoring, troubleshooting and maintenance of Radiology Systems.
Participate in implementations and application upgrades of new and existing Radiology Systems.
Provide end-user training with users at all levels. Comfortable interacting with customers.
Coordinate with vendors to provide application and hardware support.
Assist with new modality installs including testing and connectivity to the PACS system.
Provide rotating on-call coverage after hours and on weekends.
You Are:
Capable of building strong customer relationships and delivering customer-centric
A good decision-maker, with shown success at making timely decisions that keep the organization moving forward.
Able to work effectively in an environment notable for complex, sometimes contradictory
Willing to take action and eager to adopt new opportunities and tough challenges with a sense of urgency, high energy, and enthusiasm.
Adept at building partnerships and working collaboratively with others to meet shared objectives and goals.
An effective communicator, capable of determining how best to reach different audiences and executing communications based on that understanding.
Adept at learning quickly, applying insights from past efforts to new situations.
Flexible in your approach and demeanor in order to align with the shifting demands of evolving circumstances.
You Need:
Bachelor’s Degree; degree in healthcare informatics, IT, or hospital administration preferred
2-4 years experience in the field
Working knowledge of PC hardware, network technology, Windows operating system
Experience working in a hospital/clinical related department preferably in Radiology
Expectation of providing a high level of customer service
#LI-POST

Closing


MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.

Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment.",,Health Care Services & Hospitals,Health Care
50,Business Analyst,"Alexander Group: Decades of experience growing revenue for global companies


Alexander Group provides management consulting services to the world’s leading organizations. When clients need to grow revenue, they look to Alexander Group for data-driven insights, actionable recommendations, and most importantly, results.

Founded in 1985, we’ve served more than 3,000 companies around the world, across all industries. This experience gives us not only a highly sophisticated set of best practices to grow revenue — we also have a rich repository of industry data that informs all of our recommendations.

Our dedication to revenue growth and sales strategy has led to:
More than 70% of our clients being Fortune 500 corporations
Project work in more than 25 countries
Extensive industry experience in B2B markets
The Business Analyst works closely with an assigned Project Manager and becomes a fully integrated project team member in their first months of employment. The combination of on-the-job learning, classroom training and on-going coaching and mentoring enable Business Analysts to enjoy outstanding professional growth and career opportunities. The firm’s culture, built on teamwork and meritocracy, empowers our professionals to support each other in their career development.

The Business Analyst career track includes promotion to Associate Consultant to Management Consultant and beyond for individuals looking to develop a rewarding, long-term career in consulting with Alexander Group.

Responsibilities:
Create and use analytical models to simulate or forecast business problems and results
Conduct data analysis including basic statistical analysis
Participate in client interviews and related fact-finding initiatives
Apply logic and Alexander Group methodologies to provide recommendations to clients
Use and develop communication skills to communicate project findings, conclusions and recommendations with your peers and clients
Prepare initial drafts of high quality, error free deliverables
Participate in client meetings to review and present analytical approaches and interpret results
Qualifications:
Bachelor’s degree with solid academic achievement
Coursework in business administration, finance or economics is a strong plus
1+ years of relevant professional experience
Good business acumen and awareness of business trends
Moderate to advanced Excel and PowerPoint skills are required
Quantitative skills and general problem solving skills for business problems
Strong interpersonal and team working skills
Good communication skills (written and verbal)
Ability to learn quickly and resourcefully
High degree of motivation, flexibility and creativity
Genuine desire to work hard and progress rapidly in the consulting profession
Positive attitude and strong willingness to learn from mentors and peers
Ability to travel (sometimes on short notice)
EEO Employer. Desired Work Eligibility: Eligible to work in the U.S. with no restrictions. Pre-employment background check required.",,Consulting,Business Services
51,Business Analyst,"Company:Guy CarpenterDescription:Guy Carpenter is seeking candidates for the following position based in the Hoboken, Seattle, or Edina office (ideally) or to work on remote basis within the United States:Business AnalystWhat can you expect?As our Business Analyst, you'll be part of a four person team responsible for spearheading the global implementation a process automation platform for our Client Service and Support (CSS) functions. The CSS team is the backbone of the organization delivering operations and execution while intersecting with multiple cross-functional teams. The process automation will be include artificial intelligence solutions to enable our colleagues to increase workflow and quality of service.You'll work closely with both vendors and end users to understand the Guy Carpenter workflow to integrate and optimize artificial intelligence to optimize the platform. You'll help identify system enhancements, identify and remedy software bugs, create and deliver training globally, provide change management support and work closely with new regions to onboard new departments onto the platform.What's in it for you?* Opportunity for global impact, to work with dynamic and diverse teams across functions and regions to help shape future of work* A company with a strong Brand and strong results to match* Opportunity to support the workforce for one of America's Best Large Employers (named by Forbes two years in row), Most Sustainable Companies (named by Barron's 100), and a perfect score on the Human Rights Campaign Foundation's 2020 Corporate Equality Index (CEI) and been recognized as a Best Place to Work for LGBTQ+ Equality in the US* A culture of internal mobility, collaboration and extraordinary career opportunities through our four businesses: Marsh, Mercer, Guy Carpenter, and Oliver Wyman, each consistently ranked the industry leader in their fields* Competitive pay and outstanding benefits to help colleagues and their families live better - physically, mentally, and financially* Generous time away from the office and paid time off to give back through non-profit community service* Employee Resource Groups which provide access to leaders, relevant volunteer and mentoring opportunities, and interactions with counterparts in industry groups and client organizationsWe will count on you to:* Collaborate with stakeholders across the organization to identify critical data elements and define process, business rules, definitions, and tolerance levels.* Prepare complex models and analyses of key performance indicators in order to support operational and strategic decisions.* Provide recommendations to solve problems and ways to improve the effectiveness and efficiency of processes, quantifies their impact, defines their benefits, and shares with management.* Develops process flows, business requirements, and tools required to provide data to the various business systems.* Conduct data audits and ensure that data audits are effective in increasing the quality of workforce products* Identify trends and best practices and suggest how to improve current practices.What you need to have:* Business Analyst experience coupled with excellent communication skills to present complex stories and influence change* Project management experience delivering complex solutions to increase workflow* Be a self starter with the ability to work effectively with a remote team* Flexibility to work across time zones to collaborate with global stakeholders (and/or potentially travel in the future)* Experience creating effective training materials for end users* Operate with ""can do"" mind set to provide ""go live"" support and become the subject matter expert / super userWhat makes you stand out:* A healthy intellectual curiosity coupled with critical thinking skills* Background in IT and/or the reinsurance industry* KOFAX Software and/or TOTALAGILITY SoftwareGuy Carpenter & Company, LLC is a leading global risk and reinsurance specialist with more than 3,100 professionals in over 60 offices around the world. Guy Carpenter delivers a powerful combination of broking expertise, trusted strategic advisory services and industry-leading analytics to help clients adapt to emerging opportunities and achieve profitable growth. Guy Carpenter is a business of Marsh & McLennan Companies (NYSE: MMC), the world's leading professional services firm in the areas of risk, strategy and people. The company's 75,000 colleagues advise clients in over 130 countries. With annualized revenue approaching $17 billion, Marsh & McLennan helps clients navigate an increasingly dynamic and complex environment through four market-leading companies including Marsh, Mercer and Oliver Wyman. For more information, visit www.guycarp.com and follow Guy Carpenter on LinkedIn and Twitter @GuyCarpenter#LI-AV1Marsh & McLennan Companies and its Affiliates are EOE Minority/Female/Disability/Vet/Sexual Orientation/Gender Identity employers.",,Insurance Agencies & Brokerages,Insurance
52,Business Analyst,"Business Analyst ? Job Description Position Description This position is for a Business Analysis for the FA Platforms Team at ***'s New York offices. The charter of this team is to provide business analysis support for the FA Platforms to help drive the requirements, execution of the technical redesign and strategy of the platform to meet the goals of the business and delivery/implementation.Required Skills?Excellent communication skills, both verbal and written ?Self- motivated individual that will dig deep to uncover facts and not rely on assumptions or hearsay ?Assertive individual who can push and facilitate requirements discussion with minimum to no level of supervision.?Ability to manage requirements and definition of the overall platform, keeping focus on technical requirements for users to be able to successfully use and navigate through the platform on their day to day activities.?Liaison between Business Users and Technical team in analysis & design?Well defined and structured individual who can document, track and work on Functional, Data requirements seamlessly with minimum supervision?Identifies opportunities for improving business processes through information systems ?Plans, organizes and conduct walkthrough with Business Units and Technical team for common understanding across teams of requirements and sign off?Provides technical assistance to peers, mentoring where ever applicable?Exposure to Agile/Scrum is a must. ?Basic Financial Services knowledge is sufficient but Technical knowledge is a must (e.g. Ability to understand system behavior, interaction and dependencies, Data knowledge etc)Furthermore, this position will work with the ScrumMaster, Product Owners, PMs and business/data analysts in the team and work with other platform teams, driving issue analysis & resolution, educating peers, and drive the project throughout the SDLC process until execution. The candidate should be flexible, highly adaptable and excellent team player. The candidate should expect to work in a global virtual team along with NY and India team members, sometimes across multiple time zones. The ideal candidate will be a self-motivated team player committed to delivering on time and should be able to work under minimal supervision",,IT Services,Information Technology
53,Business Analyst,"The Data/Information Mgt Int Anlst is a developing professional role. Deals with most problems independently and has some latitude to solve complex problems. Integrates in-depth specialty area knowledge with a solid understanding of industry standards and practices. Good understanding of how the team and area integrate with others in accomplishing the objectives of the sub function/ job family. Applies analytical thinking and knowledge of data analysis tools and methodologies. Requires attention to detail when making judgments and recommendations based on the analysis of factual information. Typically deals with variable issues with potentially broader business impact. Applies professional judgment when interpreting data and results. Breaks down information in a systematic and communicable manner. Developed communication and diplomacy skills are required in order to exchange potentially complex/sensitive information. Moderate but direct impact through close contact with the businesses' core activities. Quality and timeliness of service provided will affect the effectiveness of own team and other closely related teams. Responsibilities: This function covers incumbents responsible for various data activities, which include database administration, data analysis, maintenance, data quality, and database management or database architecture / design engineering Responsible for routine operational or administrative work Day-to-day actions are focused on administering defined procedures, analyses and report preparation Individuals will have their work thoroughly reviewed and checked by more senior incumbents and will have limited contact outside their immediate area Daily deliverable of routine and defined outputs, while at the same time developing knowledge of the broader context in which the work is being performed Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency. Qualifications: 2-5 years relevant experience Ability to think strategically and the ability to engage resources outside of their direct control to achieve objectives Know-how on analytic tools (SAS E-miner, Knowledge Seeker, SPSS etc.) Big data and machine learning experiences are (R, Python etc.) Education: Bachelors/University degree or equivalent experience This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required. ------------------------------------------------- Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - US ------------------------------------------------------ Time Type :Full time ------------------------------------------------------ Citi is an equal opportunity and affirmative action employer. Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity. Citigroup Inc. and its subsidiaries (""Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity CLICK HERE . To view the ""EEO is the Law"" poster CLICK HERE . To view the EEO is the Law Supplement CLICK HERE . To view the EEO Policy Statement CLICK HERE . To view the Pay Transparency Posting CLICK HERE .",,Investment Banking & Asset Management,Finance
54,Business Analyst,"We are looking for a Business Analyst with an interest in financial markets and in particular financial risk and investment management, keen eye for details, affinity with data processing, and a natural interest in technology.

Key Responsibilities:
Work with colleagues in New York, London and Amsterdam to develop and enhance the Firm's global risk and investment management platform.
Develop and automate production of various statistics and reports (Valuation, Risk, Pl. Predict, Pnl Explain, Scenario Analysis).
Build tools to extract data from the Firm's source operational systems, transforming and loading into data visualization tools.
Integrate firm's reporting system with third party risk vendors for prices, valuations, positions and risk measures
Work with Risk and Investment Team members and Portfolio Managers to build out analytics in order to capture data as completely as possible.
Carry out ad-hoc risk analysis for the Firm's Risk Managers, Portfolio Managers and Investment Committee as required.
Work closely with users and key stakeholders to understand requirements, ensure thorough communication and ensure that expectations are being managed.
Help manage releases and deployments of updates to firmwide systems.
Liaise with the Firm's development team to ensure that databases are developed in line with the evolution of the underlying source systems.
Support, maintain and improve the Firm's existing data capture systems. This will include monitoring performance, maintaining source control of code, and ensuring code and processes are well-documented.
Investigate and resolve production issues in a timely manner.
Modeling of data structures and processes for equities, fixed income, FX, credit, rates, volatility and exotic products.
Other duties as assigned.
Desirable Candidates:
Bachelor's Degree or further degree in Data Science or other quantitative subject.
Strong programming, technical, and analytical skills.
Experience with Tableau, Python and developing web applications.
Solid understanding of Relational Databases, with strong T-SQL skills using SQL Server.
Excel/VBA experience would be useful.
Ability to focus on multiple projects at once and troubleshoot problems quickly.",,Investment Banking & Asset Management,Finance
